  -3.8902200E+002   2.8571955E-006  -1.1738666E-008   0.0000000E+000   0.0000000E+000   0.0000000E+000   0.0000000E+000          0
  -3.8802197E+002   2.8906752E-006  -1.1839344E-008   2.8739782E-006  -1.1789263E-008   1.4342260E-006  -5.8863824E-009          0
  -3.8702194E+002   2.9246550E-006  -1.1941076E-008   5.7816867E-006  -2.3679734E-008   5.7593578E-006  -2.3612932E-008          0
  -3.8602191E+002   2.9591430E-006  -1.2043883E-008   8.7236294E-006  -3.5672475E-008   1.3009354E-005  -5.3281338E-008          0
  -3.8502188E+002   2.9941488E-006  -1.2147776E-008   1.1700319E-005  -4.7768569E-008   2.3218711E-005  -9.4994427E-008          0
  -3.8402185E+002   3.0296818E-006  -1.2252764E-008   1.4712279E-005  -5.9969105E-008   3.6422436E-005  -1.4885610E-007          0
  -3.8302182E+002   3.0657518E-006  -1.2358868E-008   1.7760040E-005  -7.2275189E-008   5.2656066E-005  -2.1497134E-007          0
  -3.8202179E+002   3.1023687E-006  -1.2466098E-008   2.0844145E-005  -8.4687942E-008   7.1955674E-005  -2.9344628E-007          0
  -3.8102177E+002   3.1395425E-006  -1.2574466E-008   2.3965145E-005  -9.7208497E-008   9.4357879E-005  -3.8438814E-007          0
  -3.8002174E+002   3.1772835E-006  -1.2683990E-008   2.7123603E-005  -1.0983800E-007   1.1989986E-004  -4.8790530E-007          0
  -3.7902171E+002   3.2156023E-006  -1.2794680E-008   3.0320091E-005  -1.2257761E-007   1.4861936E-004  -6.0410729E-007          0
  -3.7802168E+002   3.2545096E-006  -1.2906561E-008   3.3555193E-005  -1.3542851E-007   1.8055469E-004  -7.3310482E-007          0
  -3.7702165E+002   3.2940165E-006  -1.3019635E-008   3.6829501E-005  -1.4839189E-007   2.1574478E-004  -8.7500976E-007          0
  -3.7602162E+002   3.3341345E-006  -1.3133925E-008   4.0143623E-005  -1.6146895E-007   2.5422913E-004  -1.0299352E-006          0
  -3.7502159E+002   3.3748745E-006  -1.3249445E-008   4.3498174E-005  -1.7466092E-007   2.9604786E-004  -1.1979954E-006          0
  -3.7402156E+002   3.4162488E-006  -1.3366211E-008   4.6893782E-005  -1.8796903E-007   3.4124172E-004  -1.3793060E-006          0
  -3.7302153E+002   3.4582692E-006  -1.3484234E-008   5.0331087E-005  -2.0139454E-007   3.8985208E-004  -1.5739837E-006          0
  -3.7202150E+002   3.5009478E-006  -1.3603536E-008   5.3810743E-005  -2.1493872E-007   4.4192097E-004  -1.7821465E-006          0
  -3.7102147E+002   3.5442976E-006  -1.3724134E-008   5.7333412E-005  -2.2860285E-007   4.9749106E-004  -2.0039137E-006          0
  -3.7002144E+002   3.5883313E-006  -1.3846040E-008   6.0899774E-005  -2.4238823E-007   5.5660572E-004  -2.2394060E-006          0
  -3.6902141E+002   3.6330619E-006  -1.3969272E-008   6.4510518E-005  -2.5629618E-007   6.1930898E-004  -2.4887453E-006          0
  -3.6802138E+002   3.6785031E-006  -1.4093852E-008   6.8166348E-005  -2.7032804E-007   6.8564558E-004  -2.7520548E-006          0
  -3.6702135E+002   3.7246682E-006  -1.4219789E-008   7.1867981E-005  -2.8448517E-007   7.5566095E-004  -3.0294590E-006          0
  -3.6602132E+002   3.7715716E-006  -1.4347110E-008   7.5616149E-005  -2.9876892E-007   8.2940127E-004  -3.3210840E-006          0
  -3.6502130E+002   3.8192277E-006  -1.4475827E-008   7.9411597E-005  -3.1318069E-007   9.0691345E-004  -3.6270571E-006          0
  -3.6402127E+002   3.8676513E-006  -1.4605963E-008   8.3255085E-005  -3.2772190E-007   9.8824515E-004  -3.9475069E-006          0
  -3.6302124E+002   3.9168570E-006  -1.4737530E-008   8.7147388E-005  -3.4239395E-007   1.0734448E-003  -4.2825637E-006          0
  -3.6202121E+002   3.9668609E-006  -1.4870549E-008   9.1089295E-005  -3.5719831E-007   1.1625616E-003  -4.6323591E-006          0
  -3.6102118E+002   4.0176781E-006  -1.5005048E-008   9.5081613E-005  -3.7213642E-007   1.2556455E-003  -4.9970259E-006          0
  -3.6002115E+002   4.0693253E-006  -1.5141034E-008   9.9125164E-005  -3.8720978E-007   1.3527475E-003  -5.3766989E-006          0
  -3.5902112E+002   4.1218183E-006  -1.5278537E-008   1.0322078E-004  -4.0241988E-007   1.4539190E-003  -5.7715138E-006          0
  -3.5802109E+002   4.1751747E-006  -1.5417571E-008   1.0736933E-004  -4.1776826E-007   1.5592127E-003  -6.1816083E-006          0
  -3.5702106E+002   4.2294114E-006  -1.5558157E-008   1.1157167E-004  -4.3325645E-007   1.6686819E-003  -6.6071215E-006          0
  -3.5602103E+002   4.2845464E-006  -1.5700323E-008   1.1582870E-004  -4.4888602E-007   1.7823809E-003  -7.0481938E-006          0
  -3.5502100E+002   4.3405975E-006  -1.5844078E-008   1.2014132E-004  -4.6465855E-007   1.9003647E-003  -7.5049675E-006          0
  -3.5402097E+002   4.3975836E-006  -1.5989456E-008   1.2451046E-004  -4.8057564E-007   2.0226894E-003  -7.9775864E-006          0
  -3.5302094E+002   4.4555233E-006  -1.6136473E-008   1.2893707E-004  -4.9663894E-007   2.1494121E-003  -8.4661958E-006          0
  -3.5202091E+002   4.5144361E-006  -1.6285152E-008   1.3342210E-004  -5.1285009E-007   2.2805906E-003  -8.9709427E-006          0
  -3.5102088E+002   4.5743424E-006  -1.6435518E-008   1.3796653E-004  -5.2921077E-007   2.4162839E-003  -9.4919760E-006          0
  -3.5002085E+002   4.6352624E-006  -1.6587598E-008   1.4257139E-004  -5.4572267E-007   2.5565519E-003  -1.0029446E-005          0
  -3.4902083E+002   4.6972166E-006  -1.6741407E-008   1.4723768E-004  -5.6238751E-007   2.7014555E-003  -1.0583504E-005          0
  -3.4802080E+002   4.7602269E-006  -1.6896974E-008   1.5196645E-004  -5.7920705E-007   2.8510567E-003  -1.1154305E-005          0
  -3.4702077E+002   4.8243151E-006  -1.7054323E-008   1.5675877E-004  -5.9618305E-007   3.0054185E-003  -1.1742005E-005          0
  -3.4602074E+002   4.8895035E-006  -1.7213484E-008   1.6161573E-004  -6.1331730E-007   3.1646050E-003  -1.2346759E-005          0
  -3.4502071E+002   4.9558152E-006  -1.7374476E-008   1.6653844E-004  -6.3061164E-007   3.3286814E-003  -1.2968729E-005          0
  -3.4402068E+002   5.0232739E-006  -1.7537329E-008   1.7152803E-004  -6.4806790E-007   3.4977140E-003  -1.3608074E-005          0
  -3.4302065E+002   5.0919039E-006  -1.7702070E-008   1.7658567E-004  -6.6568795E-007   3.6717702E-003  -1.4264957E-005          0
  -3.4202062E+002   5.1617297E-006  -1.7868725E-008   1.8171254E-004  -6.8347371E-007   3.8509188E-003  -1.4939544E-005          0
  -3.4102059E+002   5.2327768E-006  -1.8037324E-008   1.8690984E-004  -7.0142710E-007   4.0352295E-003  -1.5632001E-005          0
  -3.4002056E+002   5.3050715E-006  -1.8207898E-008   1.9217881E-004  -7.1955008E-007   4.2247733E-003  -1.6342496E-005          0
  -3.3902053E+002   5.3786400E-006  -1.8380469E-008   1.9752072E-004  -7.3784463E-007   4.4196227E-003  -1.7071200E-005          0
