x y
-382.02197 2.8276662e-06
-381.02194 5.6866325e-06
-380.02191 8.5773363e-06
-379.02188 1.1500223e-05
-378.02185 1.4455746e-05
-377.02182 1.7444365e-05
-376.02179 2.0466549e-05
-375.02176 2.3522774e-05
-374.02173 2.6613526e-05
-373.0217 2.9739297e-05
-372.02167 3.290059e-05
-371.02164 3.6097913e-05
-370.02161 3.9331788e-05
-369.02158 4.2602741e-05
-368.02155 4.5911311e-05
-367.02152 4.9258045e-05
-366.02149 5.26435e-05
-365.02146 5.6068241e-05
-364.02143 5.9532846e-05
-363.0214 6.3037902e-05
-362.02137 6.6584005e-05
-361.02134 7.0171765e-05
-360.02131 7.38018e-05
-359.02128 7.7474739e-05
-358.02125 8.1191226e-05
-357.02122 8.4951912e-05
-356.02119 8.8757463e-05
-355.02116 9.2608556e-05
-354.02113 9.6505882e-05
-353.0211 0.00010045014
-352.02107 0.00010444205
-351.02104 0.00010848234
-350.02101 0.00011257174
-349.02098 0.00011671102
-348.02095 0.00012090095
-347.02092 0.00012514231
-346.02089 0.0001294359
-345.02086 0.00013378253
-344.02083 0.00013818303
-343.0208 0.00014263825
-342.02077 0.00014714905
-341.02074 0.0001517163
-340.02071 0.00015634091
-339.02068 0.00016102379
-338.02065 0.00016576585
-337.02062 0.00017056806
-336.02059 0.00017543137
-335.02056 0.00018035678
-334.02053 0.00018534528
-333.0205 0.0001903979
-332.02047 0.00019551569
-331.02044 0.0002006997
-330.02041 0.00020595103
-329.02038 0.00021127077
-328.02035 0.00021666007
-327.02032 0.00022212007
-326.02029 0.00022765195
-325.02026 0.0002332569
-324.02023 0.00023893616
-323.0202 0.00024469096
-322.02017 0.00025052259
-321.02014 0.00025643234
-320.02011 0.00026242153
-319.02008 0.00026849153
-318.02005 0.00027464371
-317.02002 0.00028087949
-316.01999 0.0002872003
-315.01996 0.00029360761
-314.01993 0.00030010293
-313.0199 0.00030668779
-312.01987 0.00031336376
-311.01984 0.00032013242
-310.01981 0.00032699542
-309.01979 0.00033395442
-308.01976 0.00034101112
-307.01973 0.00034816727
-306.0197 0.00035542465
-305.01967 0.00036278506
-304.01964 0.00037025036
-303.01961 0.00037782246
-302.01958 0.00038550328
-301.01955 0.00039329482
-300.01952 0.00040119909
-299.01949 0.00040921816
-298.01946 0.00041735416
-297.01943 0.00042560924
-296.0194 0.00043398562
-295.01937 0.00044248555
-294.01934 0.00045111136
-293.01931 0.00045986541
-292.01928 0.00046875012
-291.01925 0.00047776796
-290.01922 0.00048692146
-289.01919 0.00049621323
-288.01916 0.00050564591
-287.01913 0.00051522221
-286.0191 0.00052494492
-285.01907 0.00053481687
-284.01904 0.00054484097
-283.01901 0.0005550202
-282.01898 0.00056535762
-281.01895 0.00057585634
-280.01892 0.00058651957
-279.01889 0.00059735057
-278.01886 0.00060835271
-277.01883 0.00061952941
-276.0188 0.0006308842
-275.01877 0.00064242068
-274.01874 0.00065414255
-273.01871 0.00066605359
-272.01868 0.00067815769
-271.01865 0.00069045882
-270.01862 0.00070296106
-269.01859 0.00071566859
-268.01856 0.00072858569
-267.01853 0.00074171677
-266.0185 0.00075506632
-265.01847 0.00076863897
-264.01844 0.00078243946
-263.01841 0.00079647265
-262.01838 0.00081074354
-261.01835 0.00082525725
-260.01832 0.00084001903
-259.01829 0.00085503427
-258.01826 0.00087030851
-257.01823 0.00088584744
-256.0182 0.00090165689
-255.01817 0.00091774286
-254.01814 0.00093411149
-253.01811 0.00095076912
-252.01808 0.00096772223
-251.01805 0.00098497749
-250.01802 0.0010025418
-249.01799 0.0010204221
-248.01796 0.0010386257
-247.01793 0.0010571601
-246.0179 0.0010760328
-245.01787 0.0010952518
-244.01784 0.0011148251
-243.01781 0.0011347611
-242.01778 0.0011550683
-241.01775 0.0011757555
-240.01772 0.0011968318
-239.01769 0.0012183065
-238.01766 0.0012401892
-237.01763 0.0012624897
-236.0176 0.0012852183
-235.01757 0.0013083854
-234.01754 0.0013320017
-233.01751 0.0013560785
-232.01748 0.001380627
-231.01745 0.0014056591
-230.01742 0.001431187
-229.01739 0.0014572231
-228.01736 0.0014837804
-227.01733 0.0015108721
-226.0173 0.001538512
-225.01727 0.0015667141
-224.01724 0.0015954932
-223.01721 0.0016248641
-222.01718 0.0016548425
