x y
-26.0 -0.0008955656882698918
-25.0 -0.0011333765962202014
-24.0 -0.001428780599760955
-23.0 -0.0018045738561178865
-22.0 -0.002293226424596827
-21.0 -0.002926908940695381
-20.0 -0.003696180284504174
-19.0 -0.004460966952536934
-18.0 -0.004895290838123443
-17.0 -0.004722844644752975
-16.0 -0.00411890290369555
-15.0 -0.0035079367801986
-14.0 -0.003110350043173696
-13.0 -0.0029570619185731364
-12.0 -0.003041711159768387
-11.0 -0.003379855656315324
-10.0 -0.0040030731946330824
-9.0 -0.004874980519202774
-8.0 -0.005760519184075401
-7.0 -0.006374703521732171
-6.0 -0.006699615694668885
-5.0 -0.00687437614316121
-4.0 -0.007045484640218467
-3.0 -0.007326728668631008
-2.0 -0.007649622297819016
-1.0 -0.007812782053425017
0.0 -0.007831077668680287
1.0 -0.007812782053425015
2.0 -0.007649622297819016
3.0 -0.007326728668631009
4.0 -0.007045484640218468
5.0 -0.00687437614316121
6.0 -0.006699615694668884
7.0 -0.006374703521732172
8.0 -0.0057605191840754
9.0 -0.004874980519202775
10.0 -0.004003073194633083
11.0 -0.0033798556563153243
12.0 -0.0030417111597683876
13.0 -0.0029570619185731364
14.0 -0.003110350043173696
15.0 -0.0035079367801985994
16.0 -0.00411890290369555
17.0 -0.004722844644752975
18.0 -0.004895290838123442
19.0 -0.004460966952536933
20.0 -0.0036961802845041744
21.0 -0.0029269089406953816
22.0 -0.002293226424596827
23.0 -0.0018045738561178867
24.0 -0.001428780599760955
25.0 -0.0011333765962202014
26.0 -0.0008955656882698918
27.0 -0.0007010922174936892
28.0 -0.0005410903791626747
29.0 -0.0004096129395767497
30.0 -0.0003021786882561767
