x y
-382.02197 -4.0247025e-09
-381.02194 -1.6142448e-08
-380.02191 -3.6419063e-08
-379.02188 -6.4921085e-08
-378.02185 -1.0171572e-07
-377.02182 -1.4687087e-07
-376.02179 -2.0045514e-07
-375.02176 -2.6253781e-07
-374.02173 -3.3318892e-07
-373.0217 -4.1247921e-07
-372.02167 -5.0048015e-07
-371.02164 -5.9726398e-07
-370.02161 -7.0290365e-07
-369.02158 -8.1747291e-07
-368.02155 -9.4104627e-07
-367.02152 -1.073699e-06
-366.02149 -1.2155073e-06
-365.02146 -1.3665479e-06
-364.02143 -1.5268986e-06
-363.0214 -1.6966379e-06
-362.02137 -1.8758451e-06
-361.02134 -2.0646006e-06
-360.02131 -2.2629853e-06
-359.02128 -2.4710812e-06
-358.02125 -2.6889711e-06
-357.02122 -2.9167388e-06
-356.02119 -3.1544688e-06
-355.02116 -3.4022468e-06
-354.02113 -3.6601591e-06
-353.0211 -3.9282933e-06
-352.02107 -4.2067377e-06
-351.02104 -4.4955816e-06
-350.02101 -4.7949153e-06
-349.02098 -5.1048304e-06
-348.02095 -5.4254189e-06
-347.02092 -5.7567745e-06
-346.02089 -6.0989914e-06
-345.02086 -6.4521652e-06
-344.02083 -6.8163924e-06
-343.0208 -7.1917707e-06
-342.02077 -7.5783988e-06
-341.02074 -7.9763767e-06
-340.02071 -8.3858053e-06
-339.02068 -8.8067867e-06
-338.02065 -9.2394245e-06
-337.02062 -9.6838231e-06
-336.02059 -1.0140088e-05
-335.02056 -1.0608327e-05
-334.02053 -1.1088647e-05
-333.0205 -1.1581159e-05
-332.02047 -1.2085973e-05
-331.02044 -1.2603202e-05
-330.02041 -1.3132958e-05
-329.02038 -1.3675356e-05
-328.02035 -1.4230513e-05
-327.02032 -1.4798547e-05
-326.02029 -1.5379576e-05
-325.02026 -1.597372e-05
-324.02023 -1.6581103e-05
-323.0202 -1.7201846e-05
-322.02017 -1.7836076e-05
-321.02014 -1.8483918e-05
-320.02011 -1.9145501e-05
-319.02008 -1.9820955e-05
-318.02005 -2.051041e-05
-317.02002 -2.1214e-05
-316.01999 -2.193186e-05
-315.01996 -2.2664125e-05
-314.01993 -2.3410935e-05
-313.0199 -2.4172429e-05
-312.01987 -2.4948749e-05
-311.01984 -2.5740038e-05
-310.01981 -2.6546443e-05
-309.01979 -2.7368111e-05
-308.01976 -2.8205192e-05
-307.01973 -2.9057836e-05
-306.0197 -2.9926198e-05
-305.01967 -3.0810434e-05
-304.01964 -3.17107e-05
-303.01961 -3.2627158e-05
-302.01958 -3.355997e-05
-301.01955 -3.45093e-05
-300.01952 -3.5475316e-05
-299.01949 -3.6458186e-05
-298.01946 -3.7458083e-05
-297.01943 -3.8475181e-05
-296.0194 -3.9509657e-05
-295.01937 -4.0561689e-05
-294.01934 -4.1631462e-05
-293.01931 -4.2719159e-05
-292.01928 -4.3824969e-05
-291.01925 -4.4949082e-05
-290.01922 -4.6091691e-05
-289.01919 -4.7252994e-05
-288.01916 -4.8433191e-05
-287.01913 -4.9632484e-05
-286.0191 -5.085108e-05
-285.01907 -5.2089189e-05
-284.01904 -5.3347023e-05
-283.01901 -5.46248e-05
-282.01898 -5.5922739e-05
-281.01895 -5.7241066e-05
-280.01892 -5.8580008e-05
-279.01889 -5.9939797e-05
-278.01886 -6.1320669e-05
-277.01883 -6.2722865e-05
-276.0188 -6.414663e-05
-275.01877 -6.5592212e-05
-274.01874 -6.7059865e-05
-273.01871 -6.8549849e-05
-272.01868 -7.0062426e-05
-271.01865 -7.1597865e-05
-270.01862 -7.315644e-05
-269.01859 -7.473843e-05
-268.01856 -7.634412e-05
-267.01853 -7.7973801e-05
-266.0185 -7.9627769e-05
-265.01847 -8.1306327e-05
-264.01844 -8.3009785e-05
-263.01841 -8.4738457e-05
-262.01838 -8.6492667e-05
-261.01835 -8.8272744e-05
-260.01832 -9.0079026e-05
-259.01829 -9.1911858e-05
-258.01826 -9.3771591e-05
-257.01823 -9.5658588e-05
-256.0182 -9.7573218e-05
-255.01817 -9.9515859e-05
-254.01814 -0.0001014869
-253.01811 -0.00010348673
-252.01808 -0.00010551577
-251.01805 -0.00010757444
-250.01802 -0.00010966315
-249.01799 -0.00011178235
-248.01796 -0.00011393249
-247.01793 -0.00011611403
-246.0179 -0.00011832746
-245.01787 -0.00012057326
-244.01784 -0.00012285193
-243.01781 -0.000125164
-242.01778 -0.00012750999
-241.01775 -0.00012989046
-240.01772 -0.00013230597
-239.01769 -0.00013475711
-238.01766 -0.00013724447
-237.01763 -0.00013976867
-236.0176 -0.00014233037
-235.01757 -0.00014493021
-234.01754 -0.00014756888
-233.01751 -0.00015024708
-232.01748 -0.00015296555
-231.01745 -0.00015572504
-230.01742 -0.00015852633
-229.01739 -0.00016137022
-228.01736 -0.00016425756
-227.01733 -0.00016718922
-226.0173 -0.00017016608
-225.01727 -0.0001731891
-224.01724 -0.00017625923
-223.01721 -0.00017937748
-222.01718 -0.0001825449
-221.01715 -0.00018576258
-220.01712 -0.00018903164
-219.01709 -0.00019235327
-218.01706 -0.00019572868
-217.01703 -0.00019915915
-216.017 -0.00020264602
-215.01697 -0.00020619067
-214.01694 -0.00020979454
-213.01691 -0.00021345914
-212.01688 -0.00021718606
-211.01685 -0.00022097693
-210.01682 -0.00022483347
-209.01679 -0.0002287575
-208.01676 -0.00023275088
-207.01673 -0.00023681558
-206.0167 -0.00024095369
-205.01667 -0.00024516735
-204.01664 -0.00024945883
-203.01661 -0.00025383051
-202.01658 -0.00025828488
-201.01655 -0.00026282457
-200.01652 -0.00026745232
-199.01649 -0.00027217103
-198.01646 -0.00027698372
-197.01643 -0.00028189361
-196.0164 -0.00028690404
-195.01637 -0.00029201856
-194.01634 -0.00029724089
-193.01631 -0.00030257497
-192.01628 -0.00030802492
-191.01625 -0.00031359512
-190.01622 -0.00031929017
-189.01619 -0.00032511494
-188.01616 -0.00033107454
-187.01613 -0.00033717441
-186.0161 -0.00034342027
-185.01607 -0.00034981817
-184.01604 -0.00035637454
-183.01601 -0.00036309613
-182.01598 -0.00036999013
-181.01595 -0.00037706414
-180.01592 -0.0003843262
-179.01589 -0.00039178485
-178.01586 -0.00039944912
-177.01583 -0.00040732862
-176.0158 -0.00041543351
-175.01577 -0.00042377461
-174.01574 -0.00043236338
-173.01571 -0.00044121201
-172.01568 -0.00045033345
-171.01565 -0.00045974147
-170.01562 -0.00046945071
-169.01559 -0.00047947674
-168.01556 -0.00048983614
-167.01553 -0.00050054657
-166.0155 -0.0005116268
-165.01547 -0.00052309688
-164.01544 -0.00053497815
-163.01541 -0.00054729335
-162.01539 -0.00056006677
-161.01536 -0.0005733243
-160.01533 -0.00058709357
-159.0153 -0.0006014041
-158.01527 -0.0006162874
-157.01524 -0.00063177715
-156.01521 -0.00064790934
-155.01518 -0.00066472245
-154.01515 -0.00068225764
-153.01512 -0.00070055893
-152.01509 -0.00071967345
-151.01506 -0.00073965163
-150.01503 -0.00076054752
-149.015 -0.00078241897
-148.01497 -0.00080532801
-147.01494 -0.00082934111
-146.01491 -0.00085452955
-145.01488 -0.0008809698
-144.01485 -0.00090874388
-143.01482 -0.00093793983
-142.01479 -0.00096865214
-141.01476 -0.0010009823
-140.01473 -0.0010350394
-139.0147 -0.0010709404
-138.01467 -0.0011088113
-137.01464 -0.0011487873
-136.01461 -0.0011910139
-135.01458 -0.0012356476
-134.01455 -0.0012828566
-133.01452 -0.001332822
-132.01449 -0.0013857385
-131.01446 -0.001441816
-130.01443 -0.00150128
-129.0144 -0.0015643736
-128.01437 -0.0016313582
-127.01434 -0.0017025158
-126.01431 -0.0017781494
-125.01428 -0.0018585858
-124.01425 -0.0019441767
-123.01422 -0.0020353007
-122.01419 -0.0021323657
-121.01416 -0.0022358106
-120.01413 -0.0023461079
-119.0141 -0.0024637659
-118.01407 -0.0025893317
-117.01404 -0.0027233934
-116.01401 -0.0028665831
-115.01398 -0.00301958
-114.01395 -0.0031831131
-113.01392 -0.0033579646
-112.01389 -0.0035449726
-111.01386 -0.0037450346
-110.01383 -0.0039591103
-109.0138 -0.0041882241
-108.01377 -0.0044334682
-107.01374 -0.0046960045
-106.01371 -0.0049770661
-105.01368 -0.0052779579
-104.01365 -0.0056000571
-103.01362 -0.0059448105
-102.01359 -0.0063137321
-101.01356 -0.0067083967
-100.01353 -0.0071304315
-99.013499 -0.007581504
-98.013469 -0.0080633045
-97.013439 -0.0085775237
-96.01341 -0.0091258222
-95.01338 -0.0097097914
-94.01335 -0.010330902
-93.01332 -0.01099044
-92.01329 -0.011689422
-91.01326 -0.012428493
-90.01323 -0.01320779
-89.0132 -0.014026782
-88.01317 -0.014884055
-87.01314 -0.015777053
-86.01311 -0.016701751
-85.01308 -0.017652251
-84.01305 -0.018620262
-83.01302 -0.019594471
-82.01299 -0.020559739
-81.012961 -0.021496099
-80.012931 -0.022377496
