x y
-278.07187 3.012554e-06
-277.07175 1.2098241e-05
-276.07162 2.7329701e-05
-275.07149 4.8780754e-05
-274.07137 7.6526331e-05
-273.07124 0.00011064252
-272.07111 0.00015120657
-271.07098 0.00019829694
-270.07086 0.00025199329
-269.07073 0.00031237653
-268.0706 0.00037952883
-267.07048 0.00045353363
-266.07035 0.00053447569
-265.07022 0.00062244112
-264.0701 0.00071751735
-263.06997 0.00081979323
-262.06984 0.000929359
-261.06971 0.0010463063
-260.06959 0.0011707284
-259.06946 0.0013027198
-258.06933 0.0014423768
-257.06921 0.001589797
-256.06908 0.0017450797
-255.06895 0.0019083258
-254.06883 0.0020796379
-253.0687 0.0022591202
-252.06857 0.0024468786
-251.06844 0.0026430207
-250.06832 0.0028476561
-249.06819 0.0030608959
-248.06806 0.0032828532
-247.06794 0.003513643
-246.06781 0.0037533822
-245.06768 0.0040021896
-244.06756 0.0042601861
-243.06743 0.0045274945
-242.0673 0.0048042398
-241.06717 0.005090549
-240.06705 0.0053865514
-239.06692 0.0056923783
-238.06679 0.0060081636
-237.06667 0.006334043
-236.06654 0.006670155
-235.06641 0.0070166402
-234.06629 0.0073736419
-233.06616 0.0077413055
-232.06603 0.0081197794
-231.0659 0.0085092142
-230.06578 0.0089097634
-229.06565 0.009321583
-228.06552 0.0097448321
-227.0654 0.010179672
-226.06527 0.010626268
-225.06514 0.011084787
-224.06502 0.0115554
-223.06489 0.01203828
-222.06476 0.012533604
-221.06463 0.013041552
-220.06451 0.013562307
-219.06438 0.014096056
-218.06425 0.014642989
-217.06413 0.015203299
-216.064 0.015777183
-215.06387 0.016364842
-214.06375 0.016966481
-213.06362 0.017582307
-212.06349 0.018212533
-211.06337 0.018857375
-210.06324 0.019517053
-209.06311 0.020191792
-208.06298 0.02088182
-207.06286 0.021587371
-206.06273 0.022308682
-205.0626 0.023045995
-204.06248 0.023799557
-203.06235 0.024569619
-202.06222 0.025356439
-201.0621 0.026160279
-200.06197 0.026981404
-199.06184 0.027820087
-198.06171 0.028676606
-197.06159 0.029551244
-196.06146 0.03044429
-195.06133 0.031356038
-194.06121 0.03228679
-193.06108 0.033236853
-192.06095 0.034206539
-191.06083 0.03519617
-190.0607 0.036206071
-189.06057 0.037236576
-188.06044 0.038288026
-187.06032 0.039360769
-186.06019 0.04045516
-185.06006 0.041571562
-184.05994 0.042710347
-183.05981 0.043871895
-182.05968 0.045056592
-181.05956 0.046264836
-180.05943 0.047497032
-179.0593 0.048753596
-178.05917 0.050034952
-177.05905 0.051341534
-176.05892 0.052673788
-175.05879 0.054032169
-174.05867 0.055417143
-173.05854 0.05682919
-172.05841 0.058268798
-171.05829 0.059736471
-170.05816 0.061232723
-169.05803 0.062758084
-168.0579 0.064313096
-167.05778 0.065898317
-166.05765 0.067514317
-165.05752 0.069161687
-164.0574 0.07084103
-163.05727 0.072552969
-162.05714 0.074298144
-161.05702 0.076077214
-160.05689 0.07789086
-159.05676 0.079739781
-158.05663 0.0816247
-157.05651 0.083546365
-156.05638 0.085505545
-155.05625 0.087503038
-154.05613 0.089539669
-153.056 0.091616293
-152.05587 0.093733795
-151.05575 0.095893093
-150.05562 0.098095143
-149.05549 0.10034094
-148.05537 0.1026315
-147.05524 0.10496792
-146.05511 0.10735131
-145.05498 0.10978284
-144.05486 0.11226373
-143.05473 0.11479528
-142.0546 0.11737881
-141.05448 0.12001574
-140.05435 0.12270755
-139.05422 0.1254558
-138.0541 0.12826212
-137.05397 0.13112826
-136.05384 0.13405604
-135.05371 0.13704741
-134.05359 0.14010442
-133.05346 0.14322925
-132.05333 0.14642423
-131.05321 0.14969184
-130.05308 0.15303471
-129.05295 0.15645568
-128.05283 0.15995776
-127.0527 0.1635442
-126.05257 0.16721848
-125.05244 0.17098435
-124.05232 0.17484585
-123.05219 0.17880734
-122.05206 0.18287355
-121.05194 0.18704956
-120.05181 0.19134093
-119.05168 0.19575365
-118.05156 0.20029429
-117.05143 0.20496995
-116.0513 0.20978842
-115.05117 0.21475819
-114.05105 0.21988854
-113.05092 0.22518965
-112.05079 0.23067266
-111.05067 0.23634983
-110.05054 0.24223462
-109.05041 0.24834184
-108.05029 0.25468781
-107.05016 0.26129052
-106.05003 0.26816983
-105.0499 0.2753477
-104.04978 0.28284838
-103.04965 0.29069874
-102.04952 0.29892852
-101.0494 0.3075707
-100.04927 0.31666186
